dt,weekday,active_n,off_n,off_ratio,fixed_n,mode_hour,mode_share,is_ota
2025-08-30,5,841,511,0.392,739,9,0.153,0
2025-08-31,6,796,452,0.432,694,9,0.163,0
2025-09-01,0,755,438,0.42,634,9,0.183,0
2025-09-02,1,759,439,0.422,645,9,0.186,0
2025-09-03,2,748,414,0.447,622,9,0.195,0
2025-09-04,3,774,447,0.422,667,9,0.186,0
2025-09-05,4,743,412,0.445,631,9,0.193,0
2025-09-06,5,840,488,0.419,722,9,0.176,0
2025-09-07,6,813,454,0.442,701,9,0.163,0
2025-09-08,0,720,404,0.439,616,9,0.182,0
2025-09-09,1,753,429,0.43,649,9,0.179,0
2025-09-10,2,746,444,0.405,645,9,0.186,0
2025-09-11,3,749,424,0.434,631,9,0.181,0
2025-09-12,4,770,430,0.442,663,9,0.198,0
2025-09-13,5,841,482,0.427,736,9,0.171,0
2025-09-14,6,816,461,0.435,699,9,0.18,0
