serial,install_date,p_active,p_mobile,truth_alltime,truth_schedule
D00046,2025-02-15,0.449,0.41,0,0
D00047,2025-04-03,0.248,0.092,0,1
D00048,2025-02-22,0.196,0.549,1,0
D00049,2025-03-13,0.267,0.594,1,0
D00050,2025-03-04,0.053,0.244,0,0
D00051,2025-03-06,0.359,0.605,0,0
D00052,2025-04-26,0.285,0.647,0,1
D00053,2025-04-11,0.068,0.263,1,0
D00054,2025-04-01,0.168,0.642,0,0
D00055,2025-03-30,0.088,0.38,0,0
D00056,2025-05-10,0.348,0.576,0,0
D00057,2025-03-25,0.202,0.738,0,0
D00058,2025-04-30,0.124,0.153,1,0
D00059,2025-03-08,0.581,0.209,0,1
D00060,2025-03-13,0.422,0.794,0,1
D00061,2025-02-19,0.254,0.342,0,0
D00062,2025-03-07,0.272,0.451,0,0
D00063,2025-04-11,0.255,0.385,0,0
D00064,2025-02-15,0.292,0.174,0,0
D00065,2025-04-07,0.173,0.557,0,0
D00066,2025-04-14,0.593,0.471,0,0
D00067,2025-02-21,0.375,0.381,1,0
D00068,2025-04-10,0.219,0.128,1,0
D00069,2025-05-07,0.277,0.166,0,0
D00070,2025-04-01,0.228,0.282,0,0
D00071,2025-03-03,0.134,0.716,1,0
D00072,2025-04-26,0.485,0.722,0,0
D00073,2025-04-02,0.037,0.352,0,0
D00074,2025-05-02,0.143,0.102,0,0
D00075,2025-03-13,0.486,0.379,1,0
D00076,2025-04-01,0.491,0.355,0,1
D00077,2025-04-14,0.244,0.545,1,0
D00078,2025-04-23,0.136,0.598,0,0
D00079,2025-03-24,0.128,0.202,0,0
D00080,2025-03-14,0.258,0.121,0,0
D00081,2025-02-18,0.095,0.581,0,1
D00082,2025-04-04,0.308,0.493,0,0
D00083,2025-04-29,0.376,0.5,0,0
D00084,2025-02-28,0.244,0.069,0,0
D00085,2025-03-18,0.307,0.281,0,0
D00086,2025-03-11,0.394,0.185,1,0
D00087,2025-05-05,0.272,0.234,0,0
D00088,2025-04-15,0.25,0.19,1,0
D00089,2025-03-05,0.643,0.446,0,0
D00090,2025-02-28,0.332,0.063,1,0
D00091,2025-04-04,0.402,0.512,0,1
D00092,2025-03-02,0.32,0.266,0,0
D00093,2025-02-27,0.289,0.263,1,0
D00094,2025-04-09,0.283,0.702,0,0
D00095,2025-02-22,0.383,0.233,0,0
D00096,2025-04-18,0.081,0.285,1,0
D00097,2025-04-22,0.488,0.267,0,0
D00098,2025-03-13,0.256,0.852,0,0
D00099,2025-03-17,0.06,0.223,0,0
D00100,2025-05-01,0.121,0.438,0,0
D00101,2025-02-28,0.128,0.194,0,0
D00102,2025-04-26,0.071,0.196,1,0
D00103,2025-03-02,0.27,0.092,1,0
D00104,2025-05-13,0.329,0.205,1,0
D00105,2025-03-03,0.19,0.088,0,0
D00106,2025-03-04,0.189,0.253,0,0
D00107,2025-03-04,0.103,0.058,0,0
D00108,2025-03-15,0.344,0.399,0,0
D00109,2025-04-01,0.51,0.66,0,0
D00110,2025-03-11,0.183,0.399,0,0
D00111,2025-04-19,0.184,0.101,0,0
D00112,2025-03-04,0.397,0.326,0,0
D00113,2025-03-24,0.277,0.115,1,0
D00114,2025-04-02,0.159,0.141,1,0
D00115,2025-03-29,0.271,0.516,0,0
D00116,2025-03-23,0.083,0.199,0,0
D00117,2025-05-10,0.185,0.287,0,0
D00118,2025-05-01,0.189,0.758,1,0
D00119,2025-04-21,0.321,0.053,0,0
D00120,2025-05-03,0.459,0.627,1,0
D00121,2025-04-04,0.342,0.507,0,1
D00122,2025-03-14,0.247,0.661,1,0
D00123,2025-03-16,0.292,0.362,1,0
D00124,2025-04-01,0.155,0.757,0,0
D00125,2025-02-26,0.356,0.164,0,0
D00126,2025-03-24,0.555,0.557,0,0
D00127,2025-05-06,0.256,0.394,0,0
D00128,2025-03-06,0.365,0.015,0,0
D00129,2025-03-23,0.149,0.187,0,0
D00130,2025-03-17,0.358,0.447,1,0
D00131,2025-03-24,0.422,0.642,0,0
D00132,2025-03-25,0.348,0.863,0,0
D00133,2025-05-05,0.475,0.564,0,0
D00134,2025-03-24,0.417,0.387,0,0
D00135,2025-03-03,0.352,0.109,1,0
D00136,2025-04-16,0.298,0.058,0,0
D00137,2025-03-20,0.296,0.439,0,0
D00138,2025-05-11,0.186,0.358,1,0
D00139,2025-04-12,0.047,0.351,0,0
D00140,2025-04-04,0.409,0.533,0,0
D00141,2025-02-14,0.392,0.581,0,0
D00142,2025-04-24,0.42,0.052,0,0
D00143,2025-04-19,0.006,0.438,0,0
D00144,2025-04-07,0.128,0.575,1,0
D00145,2025-02-13,0.253,0.13,0,0
D00146,2025-02-26,0.242,0.029,0,0
D00147,2025-05-10,0.387,0.554,0,0
D00148,2025-04-22,0.212,0.623,1,0
D00149,2025-03-01,0.12,0.291,0,0
D00150,2025-05-08,0.548,0.23,0,1
D00151,2025-02-25,0.443,0.479,1,0
D00152,2025-04-18,0.167,0.283,0,0
D00153,2025-02-20,0.461,0.352,1,0
D00154,2025-04-17,0.405,0.061,1,0
D00155,2025-04-04,0.056,0.14,0,0
D00156,2025-03-15,0.175,0.504,0,0
D00157,2025-05-02,0.211,0.332,0,0
D00158,2025-03-24,0.409,0.592,0,0
D00159,2025-03-29,0.268,0.287,0,0
D00160,2025-03-04,0.185,0.105,0,0
D00161,2025-02-13,0.181,0.31,0,0
D00162,2025-03-15,0.344,0.453,0,0
D00163,2025-04-07,0.19,0.387,0,0
D00164,2025-04-07,0.545,0.832,0,0
D00165,2025-04-06,0.481,0.794,0,0
D00166,2025-03-01,0.345,0.681,1,0
D00167,2025-04-15,0.396,0.692,0,0
D00168,2025-04-28,0.322,0.711,0,0
D00169,2025-04-13,0.433,0.656,1,0
D00170,2025-05-11,0.224,0.236,0,0
D00171,2025-05-04,0.674,0.273,0,0
D00172,2025-05-05,0.597,0.438,0,0
D00173,2025-03-05,0.019,0.486,0,0
D00174,2025-03-09,0.134,0.652,0,0
D00175,2025-03-12,0.323,0.434,0,0
D00176,2025-04-02,0.416,0.31,0,0
D00177,2025-03-10,0.135,0.204,0,0
D00178,2025-04-29,0.443,0.413,0,0
D00179,2025-02-21,0.182,0.241,0,0
D00180,2025-03-29,0.305,0.24,0,0
D00181,2025-02-18,0.297,0.3,0,0
D00182,2025-04-30,0.152,0.183,0,0
D00183,2025-03-30,0.33,0.284,0,0
D00184,2025-03-12,0.182,0.398,0,0
D00185,2025-03-30,0.117,0.25,0,0
D00186,2025-04-03,0.039,0.735,0,0
D00187,2025-04-29,0.409,0.54,0,0
D00188,2025-04-09,0.32,0.493,0,0
D00189,2025-04-22,0.305,0.406,0,0
D00190,2025-04-16,0.129,0.131,1,0
D00191,2025-03-13,0.211,0.426,1,0
D00192,2025-03-18,0.327,0.639,0,0
D00193,2025-03-20,0.189,0.188,0,0
D00194,2025-04-11,0.532,0.131,0,0
D00195,2025-02-16,0.394,0.306,1,0
D00196,2025-05-06,0.271,0.198,0,0
D00197,2025-04-13,0.323,0.487,1,0
D00198,2025-05-03,0.451,0.325,0,0
D00199,2025-04-13,0.569,0.57,0,0
D00200,2025-02-16,0.536,0.048,1,0
D00201,2025-04-11,0.114,0.692,0,0
D00202,2025-02-21,0.157,0.361,1,0
D00203,2025-03-30,0.11,0.376,0,1
D00204,2025-03-12,0.396,0.493,1,0
D00205,2025-04-02,0.488,0.138,0,1
D00206,2025-04-20,0.187,0.49,0,0
D00207,2025-03-06,0.214,0.362,0,0
D00208,2025-02-15,0.182,0.448,1,0
D00209,2025-04-20,0.118,0.228,0,0
D00210,2025-03-04,0.667,0.219,0,0
D00211,2025-04-20,0.253,0.098,0,0
D00212,2025-03-10,0.386,0.308,0,0
D00213,2025-03-03,0.636,0.076,0,1
D00214,2025-04-03,0.589,0.614,0,0
D00215,2025-03-08,0.093,0.202,0,0
D00216,2025-04-19,0.249,0.579,0,0
D00217,2025-05-06,0.337,0.403,0,0
D00218,2025-05-05,0.543,0.601,0,0
D00219,2025-04-03,0.294,0.104,1,0
D00220,2025-02-21,0.114,0.349,0,0
D00221,2025-05-02,0.239,0.235,0,0
D00222,2025-04-02,0.02,0.344,0,0
D00223,2025-03-11,0.348,0.293,0,0
D00224,2025-04-25,0.399,0.368,0,0
D00225,2025-03-10,0.265,0.244,0,0
D00226,2025-04-16,0.477,0.395,0,0
D00227,2025-03-02,0.131,0.775,0,0
D00228,2025-03-22,0.37,0.422,0,0
D00229,2025-03-25,0.193,0.546,0,0
D00230,2025-04-28,0.186,0.167,0,0
D00231,2025-04-02,0.175,0.572,1,0
D00232,2025-02-25,0.368,0.484,0,0
D00233,2025-05-12,0.304,0.638,0,0
D00234,2025-03-06,0.283,0.468,0,0
D00235,2025-03-30,0.404,0.206,0,0
D00236,2025-03-10,0.24,0.352,0,0
D00237,2025-03-15,0.246,0.531,0,0
D00238,2025-04-05,0.551,0.47,0,0
D00239,2025-04-16,0.123,0.723,0,0
D00240,2025-03-18,0.152,0.172,0,0
D00241,2025-05-01,0.536,0.229,1,0
D00242,2025-03-22,0.437,0.101,0,0
D00243,2025-05-05,0.21,0.381,0,1
D00244,2025-03-16,0.178,0.102,0,1
D00245,2025-03-18,0.185,0.245,0,0
D00246,2025-05-06,0.456,0.46,0,0
D00247,2025-03-06,0.234,0.219,1,0
D00248,2025-04-06,0.142,0.094,0,0
D00249,2025-03-04,0.431,0.267,0,0
D00250,2025-05-10,0.117,0.513,1,0
D00251,2025-04-27,0.224,0.212,1,0
D00252,2025-03-30,0.487,0.322,0,0
D00253,2025-04-27,0.332,0.22,0,0
D00254,2025-04-14,0.68,0.658,0,0
D00255,2025-03-15,0.252,0.445,1,0
D00256,2025-04-30,0.239,0.772,0,0
D00257,2025-03-14,0.206,0.569,1,0
D00258,2025-05-04,0.395,0.206,0,0
D00259,2025-04-28,0.284,0.219,0,0
D00260,2025-03-22,0.368,0.87,1,0
D00261,2025-03-03,0.141,0.382,1,0
D00262,2025-04-28,0.415,0.464,0,0
D00263,2025-04-17,0.362,0.655,0,0
D00264,2025-02-19,0.3,0.722,0,0
D00265,2025-02-13,0.185,0.284,0,0
D00266,2025-03-22,0.525,0.308,1,0
D00267,2025-04-03,0.408,0.534,1,0
D00268,2025-04-12,0.323,0.092,0,0
D00269,2025-03-19,0.09,0.353,0,1
D00270,2025-03-21,0.309,0.365,0,0
D00271,2025-04-17,0.315,0.525,0,0
D00272,2025-05-11,0.182,0.353,1,0
D00273,2025-04-30,0.198,0.544,0,0
D00274,2025-02-16,0.444,0.452,1,0
D00275,2025-04-06,0.267,0.702,0,0
D00276,2025-03-31,0.135,0.183,0,0
D00277,2025-04-01,0.253,0.291,0,0
D00278,2025-03-04,0.102,0.418,0,0
D00279,2025-05-08,0.234,0.626,0,0
D00280,2025-05-06,0.752,0.052,0,0
D00281,2025-04-19,0.288,0.43,0,0
D00282,2025-03-31,0.357,0.358,0,0
D00283,2025-03-14,0.281,0.374,1,0
D00284,2025-03-30,0.116,0.23,0,0
D00285,2025-04-04,0.276,0.432,0,0
D00286,2025-02-18,0.253,0.275,0,0
D00287,2025-04-29,0.521,0.286,0,0
D00288,2025-03-23,0.197,0.224,0,0
D00289,2025-03-26,0.467,0.384,1,0
D00290,2025-04-01,0.165,0.379,0,0
D00291,2025-03-02,0.346,0.151,0,0
D00292,2025-04-19,0.108,0.157,0,0
D00293,2025-02-17,0.368,0.178,0,0
D00294,2025-04-14,0.165,0.356,0,0
D00295,2025-03-25,0.064,0.452,0,0
D00296,2025-03-28,0.149,0.685,0,0
D00297,2025-02-26,0.343,0.744,0,0
D00298,2025-04-04,0.285,0.273,0,0
D00299,2025-04-18,0.071,0.199,0,0
D00300,2025-05-12,0.338,0.588,0,0
D00301,2025-04-11,0.263,0.516,1,0
D00302,2025-02-28,0.155,0.539,0,0
D00303,2025-05-13,0.194,0.673,1,0
D00304,2025-02-22,0.295,0.265,1,0
D00305,2025-03-26,0.257,0.299,0,0
D00306,2025-05-01,0.178,0.689,1,0
D00307,2025-04-16,0.201,0.185,1,0
D00308,2025-03-25,0.132,0.444,1,0
D00309,2025-04-15,0.183,0.82,0,0
D00310,2025-05-04,0.081,0.42,0,0
D00311,2025-03-15,0.074,0.47,1,0
D00312,2025-03-14,0.159,0.352,0,0
D00313,2025-05-03,0.361,0.459,0,0
D00314,2025-04-18,0.254,0.45,1,0
D00315,2025-04-22,0.357,0.222,1,0
D00316,2025-03-15,0.27,0.425,0,0
D00317,2025-03-09,0.328,0.39,0,0
D00318,2025-03-09,0.159,0.184,0,0
D00319,2025-02-18,0.154,0.658,0,0
D00320,2025-03-05,0.244,0.04,1,0
D00321,2025-04-15,0.352,0.234,0,0
D00322,2025-05-04,0.139,0.464,0,0
D00323,2025-03-19,0.196,0.399,0,1
D00324,2025-02-20,0.178,0.107,0,0
D00325,2025-02-15,0.676,0.167,0,0
D00326,2025-04-23,0.294,0.529,0,0
D00327,2025-04-22,0.277,0.354,0,0
D00328,2025-05-10,0.177,0.481,0,0
D00329,2025-05-01,0.01,0.838,1,0
D00330,2025-03-25,0.423,0.412,1,0
D00331,2025-03-25,0.099,0.285,0,0
D00332,2025-04-10,0.211,0.351,1,0
D00333,2025-04-16,0.095,0.379,1,0
D00334,2025-02-28,0.442,0.472,1,0
D00335,2025-04-02,0.38,0.411,1,0
D00336,2025-03-02,0.072,0.823,0,0
D00337,2025-02-16,0.134,0.306,0,0
D00338,2025-04-15,0.266,0.892,0,0
D00339,2025-04-25,0.023,0.422,1,0
D00340,2025-02-17,0.032,0.173,0,0
D00341,2025-03-17,0.184,0.177,0,0
D00342,2025-04-17,0.415,0.493,0,0
D00343,2025-03-19,0.169,0.243,0,0
D00344,2025-03-28,0.429,0.669,0,0
D00345,2025-02-21,0.283,0.187,0,0
D00346,2025-04-20,0.194,0.107,1,0
D00347,2025-02-13,0.403,0.151,1,0
D00348,2025-02-18,0.13,0.663,0,0
D00349,2025-04-27,0.361,0.128,0,1
D00350,2025-04-29,0.481,0.558,0,0
D00351,2025-03-27,0.181,0.569,0,0
D00352,2025-05-09,0.056,0.718,0,0
D00353,2025-04-17,0.017,0.622,0,0
D00354,2025-04-04,0.165,0.292,0,0
D00355,2025-02-15,0.191,0.482,1,0
D00356,2025-02-13,0.239,0.556,1,0
D00357,2025-04-30,0.285,0.659,0,0
D00358,2025-02-22,0.23,0.078,0,0
D00359,2025-05-05,0.142,0.158,0,1
D00360,2025-03-07,0.11,0.274,0,0
D00361,2025-02-26,0.083,0.338,0,0
D00362,2025-02-22,0.302,0.733,0,0
D00363,2025-04-23,0.393,0.457,0,0
D00364,2025-02-22,0.111,0.368,0,0
D00365,2025-05-03,0.363,0.459,0,1
D00366,2025-03-28,0.188,0.506,0,0
D00367,2025-04-01,0.315,0.414,0,0
D00368,2025-04-15,0.457,0.597,0,0
D00369,2025-05-12,0.252,0.246,0,0
D00370,2025-03-05,0.098,0.564,1,0
D00371,2025-04-13,0.083,0.095,1,0
D00372,2025-03-15,0.255,0.244,1,0
D00373,2025-04-07,0.127,0.855,0,0
D00374,2025-04-10,0.433,0.563,0,0
D00375,2025-02-23,0.171,0.693,1,0
D00376,2025-05-05,0.276,0.486,0,0
D00377,2025-03-08,0.3,0.506,0,0
D00378,2025-03-07,0.565,0.624,0,0
D00379,2025-04-09,0.161,0.357,0,0
D00380,2025-04-20,0.272,0.259,1,0
D00381,2025-05-13,0.309,0.219,1,0
D00382,2025-02-18,0.21,0.524,0,0
D00383,2025-02-17,0.179,0.101,1,0
D00384,2025-04-22,0.116,0.494,0,0
D00385,2025-05-11,0.362,0.71,1,0
D00386,2025-05-02,0.377,0.211,1,0
D00387,2025-05-07,0.336,0.314,1,0
D00388,2025-02-28,0.531,0.471,0,0
D00389,2025-02-22,0.305,0.164,1,0
D00390,2025-04-30,0.119,0.413,1,0
D00391,2025-03-07,0.226,0.508,0,0
D00392,2025-04-27,0.089,0.34,0,0
D00393,2025-04-10,0.174,0.534,0,0
D00394,2025-03-21,0.476,0.666,1,0
D00395,2025-03-10,0.346,0.181,0,0
D00396,2025-02-24,0.12,0.547,0,1
D00397,2025-05-09,0.594,0.337,0,0
D00398,2025-04-26,0.099,0.432,1,0
D00399,2025-04-18,0.269,0.185,0,0
D00400,2025-04-16,0.404,0.48,0,0
D00401,2025-02-13,0.414,0.293,1,0
D00402,2025-03-05,0.106,0.416,1,0
D00403,2025-04-15,0.128,0.339,1,0
D00404,2025-02-15,0.171,0.463,0,0
D00405,2025-03-30,0.19,0.686,1,0
D00406,2025-03-29,0.398,0.593,0,0
D00407,2025-04-04,0.157,0.572,0,0
D00408,2025-05-01,0.223,0.369,0,0
D00409,2025-02-18,0.13,0.368,0,0
D00410,2025-05-12,0.308,0.072,0,0
D00411,2025-04-28,0.213,0.336,1,0
D00412,2025-04-23,0.221,0.56,0,0
D00413,2025-04-18,0.507,0.717,0,0
D00414,2025-05-02,0.049,0.634,0,0
D00415,2025-05-12,0.117,0.1,0,0
D00416,2025-03-14,0.287,0.153,0,0
D00417,2025-02-15,0.155,0.325,1,0
D00418,2025-05-03,0.207,0.763,0,0
D00419,2025-04-17,0.316,0.106,0,0
D00420,2025-03-29,0.38,0.477,0,0
D00421,2025-02-19,0.202,0.373,0,0
D00422,2025-03-12,0.345,0.464,0,0
D00423,2025-03-06,0.163,0.476,0,0
D00424,2025-03-22,0.237,0.167,0,0
D00425,2025-04-06,0.261,0.232,1,0
D00426,2025-04-26,0.302,0.47,0,0
D00427,2025-02-25,0.235,0.372,1,0
D00428,2025-03-02,0.038,0.549,1,0
D00429,2025-05-11,0.346,0.331,0,0
D00430,2025-03-10,0.626,0.771,0,0
D00431,2025-05-06,0.374,0.378,0,0
D00432,2025-03-08,0.11,0.639,0,0
D00433,2025-02-28,0.446,0.212,0,0
D00434,2025-05-02,0.35,0.256,0,0
D00435,2025-04-04,0.41,0.515,0,0
D00436,2025-05-02,0.185,0.343,0,0
D00437,2025-03-23,0.494,0.422,0,0
D00438,2025-02-19,0.29,0.947,0,0
D00439,2025-05-06,0.341,0.518,0,0
D00440,2025-04-08,0.13,0.38,0,0
D00441,2025-02-15,0.208,0.544,0,0
D00442,2025-04-16,0.498,0.511,0,0
D00443,2025-05-02,0.486,0.522,0,0
D00444,2025-03-31,0.32,0.32,0,0
D00445,2025-03-29,0.266,0.282,0,0
D00446,2025-03-15,0.002,0.139,0,0
D00447,2025-04-15,0.145,0.235,1,0
D00448,2025-02-16,0.223,0.393,1,0
D00449,2025-03-28,0.169,0.529,0,0
D00450,2025-04-18,0.2,0.706,0,0
D00451,2025-02-16,0.183,0.031,1,0
D00452,2025-02-19,0.064,0.07,0,0
D00453,2025-03-30,0.529,0.09,0,0
D00454,2025-05-11,0.243,0.652,0,1
D00455,2025-03-21,0.175,0.532,0,0
D00456,2025-03-25,0.224,0.379,0,0
D00457,2025-04-30,0.193,0.302,0,0
D00458,2025-03-17,0.101,0.531,0,0
D00459,2025-02-27,0.093,0.245,1,0
D00460,2025-05-04,0.101,0.113,0,0
D00461,2025-03-09,0.193,0.753,0,0
D00462,2025-05-01,0.252,0.406,0,0
D00463,2025-03-07,0.244,0.213,0,0
D00464,2025-04-06,0.182,0.315,1,0
D00465,2025-05-13,0.157,0.603,1,0
D00466,2025-02-16,0.177,0.523,0,0
D00467,2025-04-29,0.201,0.234,0,0
D00468,2025-03-21,0.162,0.237,1,0
D00469,2025-04-27,0.204,0.681,0,0
D00470,2025-02-19,0.377,0.485,0,0
D00471,2025-03-08,0.273,0.516,0,0
D00472,2025-03-02,0.319,0.232,0,0
D00473,2025-04-05,0.159,0.095,1,0
D00474,2025-04-01,0.321,0.296,0,0
D00475,2025-03-17,0.431,0.385,0,0
D00476,2025-03-04,0.579,0.559,0,0
D00477,2025-02-26,0.285,0.389,0,0
D00478,2025-05-12,0.16,0.046,0,0
D00479,2025-03-15,0.316,0.504,0,1
D00480,2025-05-04,0.272,0.387,1,0
D00481,2025-04-18,0.626,0.182,0,0
D00482,2025-02-28,0.331,0.478,0,0
D00483,2025-04-21,0.128,0.841,0,0
D00484,2025-03-03,0.502,0.644,0,0
D00485,2025-04-02,0.365,0.683,0,0
D00486,2025-04-23,0.009,0.214,0,0
D00487,2025-04-13,0.334,0.461,1,0
D00488,2025-03-27,0.329,0.058,0,0
D00489,2025-03-06,0.629,0.34,0,0
D00490,2025-03-20,0.113,0.407,0,0
D00491,2025-02-19,0.232,0.499,1,0
D00492,2025-02-24,0.181,0.512,0,0
D00493,2025-03-07,0.087,0.484,0,0
D00494,2025-03-20,0.199,0.237,0,0
D00495,2025-04-17,0.4,0.289,0,0
D00496,2025-04-06,0.263,0.377,0,0
D00497,2025-05-03,0.57,0.38,0,0
D00498,2025-04-10,0.07,0.901,0,0
D00499,2025-02-19,0.462,0.599,0,0
D00500,2025-04-05,0.538,0.246,1,0
D00501,2025-05-03,0.179,0.531,0,0
D00502,2025-03-16,0.507,0.058,0,0
D00503,2025-02-16,0.218,0.378,0,1
D00504,2025-02-24,0.339,0.192,0,0
D00505,2025-04-19,0.442,0.413,0,0
D00506,2025-04-03,0.327,0.419,1,0
D00507,2025-03-27,0.099,0.555,0,0
D00508,2025-04-21,0.177,0.485,0,0
D00509,2025-04-19,0.245,0.037,0,0
D00510,2025-04-22,0.475,0.124,1,0
D00511,2025-02-13,0.116,0.33,0,0
D00512,2025-03-07,0.431,0.47,0,0
D00513,2025-02-27,0.625,0.291,0,0
D00514,2025-03-01,0.239,0.368,1,0
D00515,2025-02-16,0.023,0.314,0,0
D00516,2025-05-04,0.481,0.358,0,0
D00517,2025-02-23,0.189,0.376,1,0
D00518,2025-05-08,0.181,0.02,1,0
D00519,2025-04-01,0.586,0.681,1,0
D00520,2025-03-21,0.1,0.215,0,0
D00521,2025-04-11,0.051,0.279,1,0
D00522,2025-04-30,0.207,0.685,0,0
D00523,2025-04-26,0.712,0.166,0,0
D00524,2025-02-28,0.143,0.146,0,0
D00525,2025-04-15,0.351,0.502,0,0
D00526,2025-04-16,0.236,0.236,1,0
D00527,2025-02-19,0.308,0.397,0,0
D00528,2025-05-01,0.196,0.317,0,0
D00529,2025-02-20,0.167,0.608,0,0
D00530,2025-02-20,0.326,0.142,0,0
D00531,2025-03-21,0.135,0.553,0,0
D00532,2025-04-29,0.443,0.457,1,0
D00533,2025-04-29,0.135,0.269,0,0
D00534,2025-04-18,0.67,0.02,0,0
D00535,2025-03-23,0.341,0.158,0,0
D00536,2025-04-30,0.463,0.048,1,0
D00537,2025-04-02,0.3,0.526,0,0
D00538,2025-05-03,0.222,0.474,0,0
D00539,2025-03-26,0.188,0.802,0,0
D00540,2025-05-12,0.332,0.419,1,0
D00541,2025-03-11,0.238,0.143,0,0
D00542,2025-05-09,0.475,0.463,0,0
D00543,2025-04-26,0.444,0.407,1,0
D00544,2025-04-28,0.425,0.471,1,0
D00545,2025-02-28,0.433,0.371,0,0
D00546,2025-05-09,0.372,0.603,1,0
D00547,2025-04-05,0.23,0.242,0,0
D00548,2025-03-21,0.168,0.451,0,0
D00549,2025-03-28,0.188,0.275,0,0
D00550,2025-03-13,0.372,0.328,0,0
D00551,2025-03-02,0.116,0.298,0,0
D00552,2025-04-08,0.377,0.4,1,0
D00553,2025-02-28,0.091,0.44,0,0
D00554,2025-04-15,0.366,0.48,0,0
D00555,2025-02-14,0.295,0.3,1,0
D00556,2025-03-29,0.15,0.38,0,1
D00557,2025-03-08,0.092,0.337,0,0
D00558,2025-02-24,0.564,0.16,1,0
D00559,2025-03-03,0.304,0.252,0,0
D00560,2025-02-26,0.137,0.438,0,0
D00561,2025-03-26,0.56,0.738,0,0
D00562,2025-05-10,0.467,0.166,0,0
D00563,2025-03-30,0.394,0.354,0,0
D00564,2025-04-27,0.111,0.64,0,0
D00565,2025-02-22,0.161,0.199,1,0
D00566,2025-04-22,0.03,0.25,0,0
D00567,2025-04-23,0.126,0.485,0,0
D00568,2025-04-21,0.233,0.474,0,0
D00569,2025-03-17,0.294,0.819,0,0
D00570,2025-03-23,0.391,0.386,0,0
D00571,2025-02-17,0.147,0.439,0,0
D00572,2025-04-06,0.044,0.335,0,0
D00573,2025-04-18,0.1,0.409,0,0
D00574,2025-05-09,0.405,0.063,0,0
D00575,2025-05-13,0.515,0.509,0,0
D00576,2025-04-10,0.22,0.339,0,0
D00577,2025-02-19,0.241,0.674,1,0
D00578,2025-03-27,0.473,0.259,1,0
D00579,2025-02-22,0.246,0.276,0,0
D00580,2025-05-04,0.192,0.564,0,0
D00581,2025-05-05,0.418,0.533,0,0
D00582,2025-02-27,0.429,0.691,0,0
D00583,2025-05-04,0.234,0.367,1,0
D00584,2025-05-09,0.421,0.592,1,0
D00585,2025-04-07,0.153,0.304,1,0
D00586,2025-02-19,0.259,0.79,0,0
D00587,2025-03-12,0.31,0.628,1,0
D00588,2025-05-05,0.134,0.375,0,0
D00589,2025-02-27,0.159,0.369,0,0
D00590,2025-02-27,0.193,0.295,0,0
D00591,2025-03-02,0.371,0.174,1,0
D00592,2025-02-21,0.5,0.557,1,0
D00593,2025-04-22,0.5,0.282,1,0
D00594,2025-02-14,0.44,0.44,1,0
D00595,2025-04-15,0.178,0.247,1,0
D00596,2025-03-02,0.615,0.105,0,0
D00597,2025-03-22,0.03,0.454,0,0
D00598,2025-03-04,0.424,0.336,0,0
D00599,2025-03-18,0.355,0.368,0,0
D00600,2025-03-17,0.076,0.538,1,0
D00601,2025-03-19,0.223,0.495,0,0
D00602,2025-03-04,0.298,0.076,0,0
D00603,2025-03-08,0.1,0.147,0,0
D00604,2025-05-01,0.265,0.222,0,0
D00605,2025-02-28,0.118,0.076,0,0
D00606,2025-03-26,0.306,0.33,1,0
