f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,y
-0.4011,0.7393,-1.7232,-0.596,-0.0389,-0.5872,1.2996,-0.4673,0.9832,2.3083,0
0.4206,1.3052,0.4519,1.3416,0.9562,-0.0095,0.4851,-0.7505,1.2321,-1.0939,0
0.8001,-0.5771,0.9709,0.224,-0.6886,-0.1287,-0.3628,-0.4202,0.1399,-1.093,0
0.177,-0.2143,1.097,0.8439,-0.2311,0.9293,-1.0458,0.2147,-0.1573,-1.4817,0
1.667,0.6453,0.1918,0.8681,-1.0316,0.2482,0.4789,-0.4488,-0.3172,-0.6181,1
2.113,-1.7222,0.7203,1.5286,0.464,0.1479,-1.4177,0.2497,1.0235,-1.2898,1
0.4461,0.1347,1.4033,-1.5179,0.1627,-0.7829,0.324,2.4472,1.0078,-0.9242,0
0.3303,0.4747,-0.6262,1.2604,1.0271,1.4254,0.0295,-2.1566,-0.4912,-0.9826,1
-1.3185,-0.1074,-0.5288,0.5522,-0.7243,0.7718,0.8638,1.2204,-1.1876,0.7634,0
1.4223,0.0989,0.4687,1.1044,0.2875,-0.3611,1.6844,-0.3734,-1.2834,1.7238,0
0.903,-1.2399,0.7908,1.4343,-0.0144,0.0557,0.0349,-0.5531,-1.3447,0.679,0
0.0206,0.2255,1.0305,0.371,0.927,-0.5737,1.5938,0.1329,-0.1907,0.6862,0
-0.4867,-0.4364,0.6483,0.8969,1.547,-0.2978,2.0052,-1.3012,-0.8683,1.439,0
0.8683,1.2042,1.0993,2.1123,0.5249,0.9057,0.9765,0.3398,-1.304,0.0643,1
1.6353,-0.4045,-1.7504,-0.077,-0.6735,0.5395,0.7271,1.9948,-1.0763,-0.2746,0
-1.5206,1.1804,0.5022,-1.3133,0.1056,-0.8228,-0.3088,-0.7014,0.8986,-0.1147,0
-0.6622,0.1181,0.8215,-1.3142,1.7113,1.9823,-0.0603,-1.0639,-2.2139,0.3892,0
0.6036,-0.0719,-1.7066,0.3183,-1.9351,0.8442,1.0803,1.2213,0.3104,-0.4798,0
0.1963,-1.5258,1.858,0.6007,2.5549,-0.7174,-1.2151,-0.0974,-2.2222,-2.2034,0
-0.9588,-0.651,-0.3254,1.0829,2.2782,-1.4699,0.6099,-1.3729,-0.7507,0.456,0
0.1662,-0.0347,-0.7816,0.4521,-1.4952,-0.1545,0.1867,-1.281,0.8958,-0.1589,0
-0.6002,0.7332,-0.4717,-2.1116,0.9108,0.2354,-0.4237,-0.3723,-0.93,0.4481,0
-1.2997,-1.9083,-1.0011,0.2673,1.9049,1.4066,-1.2026,-0.5161,-0.9857,0.9831,0
0.9374,0.6441,-0.0154,0.4275,-0.449,-1.2543,-1.2994,-0.1559,0.0798,2.0568,0
-1.1819,0.5261,0.0042,0.4266,0.6269,-0.2223,0.5792,-0.3783,1.286,-0.1397,0
0.8657,-1.4801,1.5558,-1.0084,-1.9103,-0.7376,0.1561,-0.6657,0.0047,0.4669,0
-1.2978,1.009,0.1863,0.6077,0.6645,0.0537,0.3408,0.0043,0.7433,0.6337,0
-0.716,0.401,1.3851,-1.0974,-0.4717,1.1732,-1.7515,-0.0601,0.8002,-0.4564,0
0.671,1.0455,0.8428,2.1838,1.1719,1.8231,0.1303,0.432,0.6262,0.8207,1
1.1173,-1.4147,0.6422,-0.7184,0.4556,1.76,-0.5039,0.9704,0.6808,-1.4386,0
-0.243,-0.163,-0.7291,0.4773,-1.4473,-1.3508,2.2425,-0.8904,0.0627,0.5769,0
-0.1287,-0.068,0.7985,0.8998,-0.4938,-1.5733,0.6374,-1.1192,-1.184,-0.3038,0
1.6564,-0.1004,-0.2937,1.198,0.0889,0.2704,-1.8535,-0.4552,0.1794,0.9124,0
0.0348,1.779,1.4381,1.9465,-1.0931,-0.8211,0.2027,0.3982,0.4434,-1.1406,0
-2.0507,0.9719,-1.7017,1.1351,0.0927,1.0599,-0.9403,-0.267,0.4294,-0.6205,0
0.6799,-1.638,0.1094,-0.029,-0.5443,1.0642,0.7796,-1.0566,-1.3816,0.3351,0
-0.0045,-0.2829,-0.1627,0.2838,1.1164,-2.5987,-0.2549,-1.4668,-1.102,-0.4512,0
-0.4188,-1.7357,-1.0873,-0.5486,1.5804,-0.0631,0.5802,0.1537,-0.5267,-0.8606,0
1.4382,0.7761,0.595,-1.4021,0.0567,1.5867,1.1706,-0.7713,0.584,-0.7931,1
0.1356,-0.3576,-0.2664,-0.0828,-0.6471,2.1656,0.6574,1.3458,0.0874,1.0144,0
-2.2539,-1.6653,-0.7776,-0.4116,1.409,0.568,-0.5084,-0.0295,1.5145,-0.1903,0
0.7326,0.1295,2.1842,1.2976,1.1815,-1.3121,-0.2629,0.6097,-1.7459,0.3993,0
0.7216,0.6455,1.2644,0.826,-0.474,1.6374,-0.2238,-0.0704,-0.2449,0.5284,0
-1.2017,0.4852,-0.1536,-0.5575,-0.8181,1.182,0.3695,-0.0773,1.0668,-0.0486,0
-0.7905,1.0527,0.8959,1.2292,-0.5115,0.8418,0.8525,1.5288,0.0031,-0.6218,1
-0.1555,-1.18,0.1097,0.3693,-0.4607,-0.0603,1.0502,-0.0707,0.503,0.5048,0
1.4349,-0.6935,-0.5066,-0.8912,-2.2033,-0.5842,1.2504,-2.6635,-0.8235,0.493,0
-0.3628,-0.2523,-1.931,-0.3742,-1.1793,-1.29,0.4485,-0.4984,-0.1084,0.5518,0
-0.0422,-1.64,2.5249,1.7473,-0.6062,1.5658,-0.0268,-1.0926,-0.4972,-0.4336,1
-0.7198,0.5099,0.805,-0.1095,0.5228,0.7929,2.1909,0.7366,-0.1057,0.0176,0
0.9176,-0.9053,1.0358,-0.8282,0.7762,-0.2101,-0.669,-0.1668,-1.418,-0.609,0
0.5871,1.3741,-0.2831,0.2791,-0.3887,2.2132,0.255,1.4748,-1.4536,-1.7335,1
1.3662,-0.4838,-0.1772,2.6625,0.1657,2.1013,-0.3664,0.5475,-0.5494,1.6768,0
1.0499,0.6526,-1.142,-1.2783,-0.4602,-0.1237,1.7965,-0.037,1.6343,-1.1016,0
-0.2129,0.3319,0.8766,0.5692,-0.181,-0.3509,-0.8988,-0.6834,-0.4635,-0.5831,0
0.1796,-1.0779,0.9713,1.1674,1.3715,2.1422,-0.8615,-1.2954,-0.2905,-1.568,0
1.7144,0.4283,-0.7026,0.2856,-0.4242,1.2021,-2.5954,-0.1269,0.3213,0.0978,0
0.9337,-1.1007,-0.5463,-1.9629,-0.9336,0.6332,-0.5493,0.5377,0.0244,-0.133,0
-0.9856,1.0724,0.3505,1.0235,1.5498,0.4043,0.2832,-0.24,-0.8056,1.8283,0
-0.3483,1.1299,-0.4111,0.1511,0.1107,-0.418,0.3518,1.7819,0.0324,0.2033,0
1.2477,1.6899,1.0914,0.1312,0.2484,0.5197,0.7391,0.0732,0.2488,-0.6605,0
-1.1782,2.0578,-1.2292,0.3474,0.4335,-1.4374,1.4995,1.0621,1.0844,-0.7926,0
0.5946,-1.1392,-0.5839,-0.7781,-1.5011,0.613,0.3509,0.2938,-1.7886,1.1981,0
0.0486,-0.4758,-0.8964,-1.9091,-0.8117,1.3674,-0.9405,1.5082,0.4269,0.2444,0
0.2844,0.3753,-0.9549,-1.2493,-1.0985,-0.7978,-1.2196,1.0386,-0.6654,0.2004,0
0.9958,-1.9144,1.1321,0.1633,1.995,-0.8574,-0.2947,0.9019,0.0712,-1.3332,0
0.9343,-0.6081,1.6414,2.3514,0.4036,1.4174,-1.2885,-0.3287,0.677,0.1477,1
0.3414,-1.3145,-0.0439,-0.3251,0.011,1.1176,-1.0315,0.8118,-0.1913,0.6747,0
1.8858,-0.5856,1.048,0.1658,0.8724,3.7235,1.7287,-0.5146,0.3444,1.0521,1
0.7508,1.1905,1.1159,1.4282,1.9095,3.6285,-0.449,0.3867,-1.9059,0.1473,1
-1.7572,-0.0419,0.4602,-0.5022,-0.6425,-1.9849,-0.5595,-0.1018,-0.0038,0.0442,0
-0.9998,0.4036,-1.1817,1.1721,0.4271,0.4986,0.6894,-0.6221,-0.3548,-2.0956,0
-0.1992,-0.1124,0.0997,-0.3136,-0.3529,-0.8022,0.3929,-0.4164,0.5339,0.1281,0
-0.4204,-0.0612,1.3675,-1.1806,-0.3442,-0.0018,0.7362,-0.6287,0.609,-0.4144,0
0.1091,-1.9533,0.0305,-0.4272,0.0796,0.3434,-0.984,-0.4972,0.0214,0.5029,0
-0.6278,-0.0525,-1.9195,1.4689,-0.3823,0.1527,-0.0255,-0.0177,-0.7037,0.3588,0
-1.1818,1.3733,0.445,-0.3634,1.3635,2.9571,-1.2449,0.6225,-0.5132,-1.0928,1
0.2139,0.9724,2.0084,1.9118,1.8451,1.1937,0.3693,-0.4838,-0.2795,-0.3841,1
0.8468,-0.9512,-0.9203,-0.1908,0.6323,-1.2424,1.7621,0.0069,0.871,0.9679,0
-0.8667,0.2486,-0.0347,-0.236,-3.6641,0.1676,-0.0165,-1.2512,0.2133,0.0796,0
2.4501,1.6023,0.7726,-1.3664,2.8515,-0.427,0.3924,1.9132,-0.0843,0.2626,1
-0.732,1.3652,-1.0392,1.7883,0.8616,-0.8473,-0.5245,1.4463,0.8034,0.4358,0
-0.7003,2.244,-0.099,0.0432,0.0837,-0.158,-1.4619,0.7353,-0.6513,0.2559,0
-0.8235,0.2922,1.3464,-0.5134,0.3429,-0.7795,-0.9659,0.5839,0.508,-0.9939,0
-1.3705,-1.897,-0.5096,0.0883,0.4113,0.4652,-1.4198,0.0769,-1.5823,1.399,0
0.2289,0.4854,-0.0533,-0.8702,-0.1794,-1.4207,-1.2434,2.8062,0.5664,0.1287,0
-1.1367,0.3779,-1.3214,-1.2344,0.6243,0.9981,-0.4423,-0.8983,0.579,0.714,0
0.6622,0.7385,0.3082,-0.5813,0.7101,-1.0041,-0.1282,0.287,-0.4827,0.5087,0
1.1911,0.9138,0.4718,-1.0799,-0.2715,-0.7774,1.4393,-0.7149,-0.5293,1.5243,0
-0.5029,0.6944,-0.0439,-0.0297,1.4158,-1.8656,0.1246,1.5517,-0.0016,0.9813,0
0.9003,0.6792,2.9284,0.8145,1.5662,1.2174,0.1893,1.4101,-0.2826,0.8603,1
-0.4168,1.2716,-0.5367,1.1062,-0.2863,-0.1677,0.2076,-1.2444,0.0648,-0.2582,0
-1.4369,-0.932,-0.7053,-0.304,0.1957,-0.0216,-0.0588,0.1755,-0.6614,-0.7178,0
0.0559,-0.0207,0.6911,0.1472,-1.2764,-0.3021,0.2559,0.7457,1.1088,-0.5999,0
-1.1479,-1.0223,3.0861,0.93,-2.1007,-1.0429,0.1993,1.2895,0.2426,1.0743,0
0.016,-0.1039,0.0164,0.6668,-0.6056,1.5737,0.5506,-2.509,-0.0755,0.5548,0
1.4448,0.4653,1.0119,-0.2395,0.4562,0.7978,1.035,0.8154,1.2301,-1.7053,1
-1.1342,-0.0528,0.4579,-1.063,-0.4054,-0.9061,-1.0225,-0.8803,-0.7054,-0.3041,0
-0.2085,1.9539,0.4745,-0.8626,0.7183,0.5304,-0.6742,-2.2438,1.0933,1.1189,0
-0.5996,-0.2221,-0.5522,0.0048,1.2749,-0.7126,0.2562,0.3329,0.4441,0.5586,0
-0.2524,1.1553,-0.3877,1.2042,-0.6869,-0.9414,0.0563,1.0264,0.1029,-0.0242,0
-0.3089,1.4072,-0.0296,-0.2638,-0.4628,-1.0335,-0.9465,-0.3411,0.214,-0.2223,0
0.3793,-0.9946,-0.5122,1.2551,-0.2903,0.6603,-1.0647,0.1189,0.7141,1.4793,0
2.0031,0.5473,-1.008,-0.2654,1.1666,-0.7299,1.1105,1.7887,1.1281,-1.0976,0
0.2577,0.5708,-0.0475,-1.2644,1.2558,-2.4837,0.2911,0.7027,-0.7972,-0.8337,0
-0.8442,0.7483,-0.7942,1.0539,-1.1853,-2.7013,0.3838,-0.0733,1.2567,-1.5161,0
1.3287,-0.0306,1.5836,-1.1519,-0.626,0.5725,0.6846,-0.0985,0.4432,1.2831,0
-0.6321,0.1176,0.3676,-0.5431,0.6399,-0.9225,-0.2548,-0.3611,1.7064,-0.6134,0
-0.4223,0.3519,-1.1687,0.6825,1.6905,0.6423,0.345,1.4556,0.7468,-0.0553,0
-1.2711,0.8489,0.4326,0.0896,-0.9812,0.8499,-0.2951,0.3381,-0.1249,1.4936,0
-0.1105,-0.2087,0.3091,-0.6116,-1.172,0.0593,-0.7086,0.8286,0.7998,0.1111,0
1.5006,-1.4288,0.0344,0.4084,2.3676,0.1312,-0.4574,1.437,0.5067,-0.479,0
0.3495,-0.9284,-0.7602,-1.9359,-2.8278,-0.5182,-0.9126,-0.9127,0.1948,0.2442,0
-0.8094,-2.1399,0.454,-1.6961,0.7651,-0.0753,0.5473,1.5749,0.3397,-0.4262,0
-1.1085,1.8013,1.7193,2.4396,2.0365,1.544,2.8067,0.5423,-1.215,1.1158,0
1.4762,0.1922,1.0237,1.4012,0.1049,-0.4195,0.0937,-0.637,-0.1489,-1.1166,0
-1.3827,-0.1187,1.0753,-0.0123,0.7885,0.3005,-0.8891,-0.887,0.5759,1.2993,0
-1.0072,0.2591,0.1436,1.1871,-1.8731,-0.1398,1.3353,0.1522,0.9006,1.3983,0
-1.106,0.4758,2.1081,1.0192,2.0359,0.9413,-0.4702,-1.1081,2.0493,0.43,1
0.7939,0.2837,-0.7285,0.7046,-1.6763,-0.1878,-0.1454,-0.741,-0.4403,-0.2292,0
-0.538,0.5011,-0.382,1.4292,-0.2136,0.7745,0.6558,-1.3088,0.5549,-0.832,0
-1.8907,1.6371,-1.1518,0.4908,0.8184,0.0677,-2.4809,-0.1585,1.0322,0.0316,0
-1.0185,-0.0007,1.4073,-0.2487,-1.7133,-0.1398,0.6311,-0.0522,-1.193,1.1731,0
0.1601,-1.2563,-0.5014,-0.4578,0.395,-2.0437,-0.3837,-0.5505,0.9591,0.9264,0
0.4597,-1.5309,-0.7017,1.6941,0.3162,1.1409,0.0819,-0.8634,-0.3386,-0.8883,0
1.0037,0.0266,-1.8756,0.0425,1.6466,0.1416,-2.3617,-0.2813,-1.0306,1.1048,0
-0.3981,-0.1811,-0.6904,1.0735,-0.3505,0.582,-1.7625,-0.5402,0.4317,-0.5066,0
0.2307,0.8999,-0.8327,-0.5335,0.0665,1.5999,1.4188,-0.5573,-0.3062,1.0114,0
-0.3596,0.0867,1.4251,-0.1913,-1.426,-0.5752,-0.3279,1.4003,-0.5261,0.0893,0
-2.0664,1.5016,0.6207,-0.9483,-1.913,0.2593,-1.2778,-1.6855,0.3415,1.7197,0
2.9957,0.5906,1.8257,1.1114,1.3496,0.3892,1.3097,-0.6793,-0.4236,0.7606,1
0.0288,0.5136,-0.3485,-1.103,-0.327,1.1072,0.4262,0.8277,0.3206,2.1543,0
-0.4743,-1.4184,2.0354,-1.1359,0.352,-1.8073,0.7867,-1.5976,-0.3153,-0.2341,0
1.6829,1.0125,-0.31,0.4568,0.3182,2.1851,0.3965,0.5906,-0.5705,0.9398,1
1.7418,1.7058,-0.6629,1.5748,1.5003,2.0416,1.5888,0.1601,-0.5258,0.895,1
-0.4639,1.4015,0.713,0.8599,0.4898,-0.4977,0.4619,0.5604,-1.3649,0.0734,0
0.369,0.437,0.0365,0.2259,-1.5866,-0.6861,0.7118,0.4395,1.3627,-1.825,0
0.1319,-0.2541,0.0024,-0.5567,-0.3284,1.3307,-0.7491,0.9095,2.5819,0.8097,0
0.3616,1.0726,-0.4926,0.4734,0.9155,-1.9196,-0.1415,-0.0177,0.6822,-1.0141,0
0.1158,-1.0365,-1.102,0.7517,1.2738,-0.4753,-0.7888,0.3161,0.1933,0.8723,0
-0.682,-1.095,0.3956,0.5269,0.7451,1.1722,-1.7783,0.4386,1.3584,-1.2386,0
-1.0817,1.1563,0.2486,1.9862,-0.0678,-0.475,-0.0542,0.479,0.613,-0.5496,0
1.3341,0.3783,-1.798,-0.1681,-1.6077,0.3807,1.2713,0.0447,1.5778,-0.5786,0
0.2067,-0.8073,-0.8346,0.2989,-0.6722,-0.5884,-0.6062,2.2312,0.0119,-0.2072,0
-0.4489,-0.5371,-0.4529,-0.2701,-0.2988,-0.9475,1.4694,-0.4121,-1.7615,-0.5855,0
0.7563,-0.2044,0.0777,-1.5825,-0.3763,-0.3082,-1.0318,0.0932,2.42,0.0253,0
-0.6313,-2.5439,0.9609,-0.7398,-0.1677,0.4302,-0.2779,2.3968,0.4186,1.0522,0
0.5545,0.7157,-0.1752,-0.7564,-0.3129,-0.5769,0.8061,1.0954,0.6717,-0.5044,0
1.5248,-0.2148,2.7102,0.6324,-1.7261,1.2493,-1.6295,1.644,0.7734,1.6022,0
-1.0029,-0.255,-0.1115,-0.6162,1.1503,0.593,-1.8754,0.5058,-1.0624,-1.1795,0
1.7011,1.2564,1.558,0.1899,1.828,1.0618,0.2556,0.4063,1.8412,-0.3048,1
2.6454,-0.3512,0.342,0.8971,-0.4585,-0.5707,0.9048,-0.1276,1.1012,-0.3572,0
-0.8358,1.069,0.7436,1.054,-0.0328,1.3042,0.7509,-0.2282,-1.7961,-0.698,0
-1.3607,0.6622,0.2375,0.5161,0.984,1.5513,0.3,1.2506,1.0206,-0.3749,0
-2.4581,-2.1735,2.8545,1.867,-1.6241,-1.9014,0.1933,-0.9217,-0.352,-0.4584,0
2.0106,-0.5942,1.3928,0.7265,0.4136,-0.1922,0.071,2.0497,-0.4309,-1.6354,0
0.3243,0.2877,-1.8218,-0.9335,1.4196,-0.86,1.5205,0.3421,-1.7061,1.1167,0
-0.6077,2.1629,-1.2291,-0.4759,0.4186,0.6194,1.1811,-0.5253,0.5682,-0.1524,0
-0.4863,0.8416,0.418,-0.5966,-0.8136,1.0188,-0.1666,0.1559,-1.0891,-0.0682,0
-0.0443,1.2309,-0.55,1.6735,1.9976,0.6851,1.638,-1.0522,0.2164,-0.1079,0
1.6739,-1.6953,0.037,0.0314,-1.5258,-0.9947,0.9456,-0.5808,2.1159,-0.1209,0
-0.3834,-0.3556,-0.1056,-0.516,1.5035,-0.6141,1.3763,1.3217,0.0707,-0.2996,0
0.2151,-1.7769,1.0657,-0.859,1.2102,-0.3377,0.6089,-1.2786,-0.2775,1.0794,0
0.2136,-0.5141,0.8752,2.6723,1.7335,0.5649,2.1029,2.4048,0.0468,1.8167,1
-0.5478,-0.8805,-1.2738,-0.4762,-0.5513,1.3655,-1.6531,-0.5994,-0.6528,-2.1763,0
-1.8309,-0.613,0.7624,-0.6019,-1.4359,-0.7357,0.8672,-0.1006,-0.0771,-1.1256,0
0.0796,-1.4418,0.6222,0.1671,1.1062,-0.1772,0.9168,1.1517,0.1238,-1.4326,0
-0.0845,0.9641,-0.187,-0.4615,0.1508,-0.0941,-1.1927,-1.2057,0.3566,0.2273,0
0.5993,0.2256,0.7642,1.2627,1.4813,0.1258,1.4409,0.4045,-1.1072,-0.5506,0
1.6475,-0.2735,-0.8585,0.8434,-0.7785,0.2666,-1.0814,2.2679,0.6729,-0.4663,0
-0.4493,-0.6869,-0.3423,-3.5874,-2.4919,-1.7358,-1.5032,-0.654,1.3617,-2.022,0
-2.1819,0.1504,1.3284,-1.6375,-1.0406,-1.0784,-0.0098,-0.778,-0.1518,0.6178,0
-0.1683,0.9354,0.8596,-0.6594,-0.5692,-1.0104,1.0295,-0.7981,-0.4601,-0.7554,0
-1.3703,1.0734,2.1243,-1.6043,-0.4783,-1.1683,0.4513,0.7061,1.6161,1.4094,0
1.0188,-0.5853,0.5781,0.7511,-0.6384,-0.1797,0.2327,1.56,-1.206,0.1497,0
-0.84,1.7142,-0.644,0.0685,-0.631,-1.5938,0.3109,1.0106,0.1239,-0.5039,0
1.9107,-1.5381,0.1395,-0.3678,-0.5575,-0.9746,-0.1933,1.3404,1.1304,0.6273,0
0.1048,-0.8015,-2.2067,0.9284,-0.3335,0.4097,0.078,-1.3652,1.6065,1.0879,0
0.1136,-0.1685,1.7665,0.6507,-0.7928,0.4307,0.2111,0.5456,-0.2233,-0.1588,0
0.7938,-0.6819,0.3103,-1.9577,0.0998,-1.0726,-0.2383,-0.4666,0.6445,1.9048,0
0.8091,0.0047,0.3982,-1.1212,-0.9966,0.7373,-1.463,1.2069,1.2349,1.7733,0
0.8758,1.1742,-2.9649,1.3321,1.3005,1.4718,0.4891,-0.5067,0.473,1.1808,0
-1.422,-0.0148,0.5409,1.9187,-0.2779,-0.4823,0.3918,-0.6269,-0.9601,0.4215,0
-0.0133,0.1716,-1.0814,0.263,-0.2699,-0.9385,0.4982,0.3036,1.3739,0.8285,0
0.2824,0.4615,0.9202,0.5659,1.215,0.6472,-0.8588,0.191,0.3038,-0.0799,0
0.7059,2.0247,-0.9723,1.9597,-0.6181,0.3645,-0.0913,1.5714,-1.0348,-1.0041,0
0.0505,-0.9748,-1.2752,-2.0487,0.2042,-2.0248,1.1416,0.4802,-0.2498,1.4018,0
0.3484,0.9508,0.3362,1.4748,0.3162,1.1178,-0.9104,-0.4727,-2.6753,1.3701,1
-0.279,-0.5612,-0.7868,0.5746,-0.7331,-0.3392,0.8084,-0.5733,-0.8147,-1.1299,0
-0.8551,1.131,-0.9393,1.5469,-0.602,0.8362,-0.4475,0.0018,-1.927,-0.4314,1
-0.9983,2.3791,-0.0501,1.9069,0.2149,0.8755,-0.8606,1.11,0.9341,-0.5138,0
-0.6972,1.071,1.0687,0.82,-0.6994,-0.2006,-0.2083,0.4862,0.0327,-0.7422,0
1.0398,-0.4925,2.0451,0.5075,0.0976,1.1937,-0.3179,-0.4906,-0.8391,0.0868,0
0.2068,-2.0581,-0.2721,1.2209,1.0736,-0.16,-1.3404,-1.2504,-0.1929,0.4954,0
-0.9168,0.0307,0.2677,0.5264,-0.7091,0.4905,-1.0749,-1.4914,-0.6009,-1.1613,0
-0.807,-0.9832,-0.0152,-0.0954,1.2115,0.5323,0.4493,-0.4328,1.5408,-1.5161,0
0.1869,-0.1502,-0.251,0.2117,-0.5073,0.9731,-0.427,-1.0077,-0.7856,-2.007,0
0.2776,-1.2496,0.3564,0.6894,-1.4648,-1.2355,2.919,-0.9586,1.5745,-0.5397,0
1.9641,-0.989,-0.5629,0.8341,0.5039,0.0573,-0.213,-1.0681,-0.7143,0.3932,0
0.1163,1.3684,-1.1015,1.6696,-0.3687,0.7784,-0.5276,1.4849,-1.2015,0.0082,1
0.228,0.9813,-1.2468,1.3026,0.1572,0.8709,-0.9094,-1.3275,0.9463,-0.5574,0
-0.1316,1.1005,0.0672,0.399,-1.0256,-1.4974,0.1998,1.9786,-0.0189,-0.0056,0
-0.5011,-0.267,-0.5744,0.8233,0.4862,0.6099,0.0647,-0.0971,0.6672,1.9891,0
0.1876,1.1546,0.2883,-1.9066,0.7452,0.4402,-1.0248,-1.1266,0.1844,0.0598,0
-0.5082,0.3685,0.4584,-0.6818,0.8776,0.7409,1.2304,-0.8486,2.2058,-0.8033,0
-0.6488,1.9513,0.5176,0.7205,0.4278,1.5412,-0.1197,1.1273,0.198,-0.9538,0
-0.4918,0.656,0.7625,-1.1113,-0.1072,-0.8202,1.1918,0.0288,1.3338,0.233,0
0.1287,-0.9378,-0.2075,-1.2024,1.2273,0.1197,-2.0056,-1.6002,0.3168,0.1954,0
-1.6975,-0.0316,1.2266,1.573,0.7303,1.5617,-0.5437,0.9538,1.5009,-0.7843,0
1.1608,0.5366,0.3097,-0.4023,-0.5188,-0.4758,1.9756,-0.8517,-0.6921,0.624,0
-0.9899,-1.0056,0.25,-1.2512,0.0946,0.6663,0.106,-0.994,-0.3844,0.5016,0
1.3739,-1.0631,-1.0509,-0.0739,0.9498,1.0926,2.0205,1.0476,-0.7698,0.6272,0
0.834,-0.8254,-1.2089,-0.334,1.0405,0.1536,-0.6476,-0.4462,1.0628,1.4523,0
-0.923,0.9077,-0.3516,0.4158,0.5473,0.8477,0.553,0.1439,0.695,0.2964,0
-0.3198,0.9356,-0.2191,-0.0666,0.5145,0.6415,-0.8341,0.0625,-1.1779,-1.5713,0
-0.4961,1.1936,-1.9739,0.2142,1.4179,-1.5224,-1.785,-1.3331,-0.4243,-0.6509,1
2.3181,1.4305,1.437,0.0368,0.6991,-0.3279,1.8952,-0.7672,0.6618,-0.2918,1
-0.1003,0.2965,0.4025,0.3946,0.9749,0.6952,1.0756,-0.1823,0.8446,-0.3128,0
-0.9383,1.4847,0.5615,0.0929,-0.29,-0.0846,-0.9725,-1.6463,-0.4708,1.0199,0
-1.2564,-2.263,-1.1185,-0.361,-0.3682,-0.9414,0.2157,1.4028,0.1105,-0.2561,0
-0.3304,-0.3666,1.1254,1.4922,0.3843,1.7052,0.6179,-0.5751,0.503,1.0065,0
0.8182,-0.054,1.4063,0.6606,-1.2887,0.4677,1.4868,-0.3826,-0.6439,-0.1993,0
1.1344,0.4152,-1.0068,0.2324,-0.6138,0.8552,-0.705,-0.5204,-0.5822,2.6152,0
