phrase,n,share,category,rank
"죄송해요, 그 부분은 잘 모르겠어요 (41)",39,0.0035239902412577935,인식/이해 실패,26
"죄송해요, 그 부분은 잘 모르겠어요 (72)",39,0.0035239902412577935,인식/이해 실패,27
"죄송해요, 그 부분은 잘 모르겠어요 (68)",39,0.0035239902412577935,인식/이해 실패,28
"죄송해요, 그 부분은 잘 모르겠어요 (66)",38,0.003433631517122978,인식/이해 실패,29
"죄송해요, 그 부분은 잘 모르겠어요 (56)",38,0.003433631517122978,인식/이해 실패,30
"죄송해요, 그 부분은 잘 모르겠어요 (26)",38,0.003433631517122978,인식/이해 실패,31
"죄송해요, 그 부분은 잘 모르겠어요 (43)",38,0.003433631517122978,인식/이해 실패,32
"죄송해요, 그 부분은 잘 모르겠어요 (40)",37,0.003343272792988163,인식/이해 실패,33
"죄송해요, 그 부분은 잘 모르겠어요 (85)",37,0.003343272792988163,인식/이해 실패,34
"죄송해요, 그 부분은 잘 모르겠어요 (22)",37,0.003343272792988163,인식/이해 실패,35
"죄송해요, 그 부분은 잘 모르겠어요 (34)",37,0.003343272792988163,인식/이해 실패,36
"죄송해요, 그 부분은 잘 모르겠어요 (61)",37,0.003343272792988163,인식/이해 실패,37
"죄송해요, 그 부분은 잘 모르겠어요 (21)",37,0.003343272792988163,인식/이해 실패,38
"죄송해요, 그 부분은 잘 모르겠어요 (97)",37,0.003343272792988163,인식/이해 실패,39
"죄송해요, 그 부분은 잘 모르겠어요 (38)",36,0.003252914068853348,인식/이해 실패,40
"죄송해요, 그 부분은 잘 모르겠어요 (87)",36,0.003252914068853348,인식/이해 실패,41
"죄송해요, 그 부분은 잘 모르겠어요 (04)",36,0.003252914068853348,인식/이해 실패,42
"죄송해요, 그 부분은 잘 모르겠어요 (24)",36,0.003252914068853348,인식/이해 실패,43
"죄송해요, 그 부분은 잘 모르겠어요 (25)",36,0.003252914068853348,인식/이해 실패,44
"죄송해요, 그 부분은 잘 모르겠어요 (08)",36,0.003252914068853348,인식/이해 실패,45
"죄송해요, 그 부분은 잘 모르겠어요 (11)",36,0.003252914068853348,인식/이해 실패,46
"죄송해요, 그 부분은 잘 모르겠어요 (46)",36,0.003252914068853348,인식/이해 실패,47
"죄송해요, 그 부분은 잘 모르겠어요 (13)",36,0.003252914068853348,인식/이해 실패,48
"죄송해요, 그 부분은 잘 모르겠어요 (28)",35,0.0031625553447185324,인식/이해 실패,49
"죄송해요, 그 부분은 잘 모르겠어요 (50)",35,0.0031625553447185324,인식/이해 실패,50
"죄송해요, 그 부분은 잘 모르겠어요 (71)",35,0.0031625553447185324,인식/이해 실패,51
"죄송해요, 그 부분은 잘 모르겠어요 (76)",35,0.0031625553447185324,인식/이해 실패,52
"죄송해요, 그 부분은 잘 모르겠어요 (02)",35,0.0031625553447185324,인식/이해 실패,53
"죄송해요, 그 부분은 잘 모르겠어요 (49)",35,0.0031625553447185324,인식/이해 실패,54
"죄송해요, 그 부분은 잘 모르겠어요 (78)",35,0.0031625553447185324,인식/이해 실패,55
"죄송해요, 그 부분은 잘 모르겠어요 (48)",35,0.0031625553447185324,인식/이해 실패,56
"죄송해요, 그 부분은 잘 모르겠어요 (52)",35,0.0031625553447185324,인식/이해 실패,57
"죄송해요, 그 부분은 잘 모르겠어요 (63)",35,0.0031625553447185324,인식/이해 실패,58
"죄송해요, 그 부분은 잘 모르겠어요 (32)",34,0.0030721966205837174,인식/이해 실패,59
"죄송해요, 그 부분은 잘 모르겠어요 (09)",34,0.0030721966205837174,인식/이해 실패,60
"죄송해요, 그 부분은 잘 모르겠어요 (55)",34,0.0030721966205837174,인식/이해 실패,61
"죄송해요, 그 부분은 잘 모르겠어요 (23)",34,0.0030721966205837174,인식/이해 실패,62
"죄송해요, 그 부분은 잘 모르겠어요 (80)",34,0.0030721966205837174,인식/이해 실패,63
"죄송해요, 그 부분은 잘 모르겠어요 (74)",34,0.0030721966205837174,인식/이해 실패,64
"죄송해요, 그 부분은 잘 모르겠어요 (01)",34,0.0030721966205837174,인식/이해 실패,65
"죄송해요, 그 부분은 잘 모르겠어요 (57)",34,0.0030721966205837174,인식/이해 실패,66
"죄송해요, 그 부분은 잘 모르겠어요 (07)",34,0.0030721966205837174,인식/이해 실패,67
"죄송해요, 그 부분은 잘 모르겠어요 (45)",33,0.0029818378964489023,인식/이해 실패,68
"죄송해요, 그 부분은 잘 모르겠어요 (47)",33,0.0029818378964489023,인식/이해 실패,69
"죄송해요, 그 부분은 잘 모르겠어요 (60)",33,0.0029818378964489023,인식/이해 실패,70
"죄송해요, 그 부분은 잘 모르겠어요 (69)",33,0.0029818378964489023,인식/이해 실패,71
"죄송해요, 그 부분은 잘 모르겠어요 (88)",33,0.0029818378964489023,인식/이해 실패,72
"죄송해요, 그 부분은 잘 모르겠어요 (39)",33,0.0029818378964489023,인식/이해 실패,73
"죄송해요, 그 부분은 잘 모르겠어요 (05)",33,0.0029818378964489023,인식/이해 실패,74
"죄송해요, 그 부분은 잘 모르겠어요 (14)",33,0.0029818378964489023,인식/이해 실패,75
"죄송해요, 그 부분은 잘 모르겠어요 (83)",32,0.002891479172314087,인식/이해 실패,76
"죄송해요, 그 부분은 잘 모르겠어요 (92)",32,0.002891479172314087,인식/이해 실패,77
"죄송해요, 그 부분은 잘 모르겠어요 (67)",32,0.002891479172314087,인식/이해 실패,78
"죄송해요, 그 부분은 잘 모르겠어요 (98)",32,0.002891479172314087,인식/이해 실패,79
"죄송해요, 그 부분은 잘 모르겠어요 (99)",32,0.002891479172314087,인식/이해 실패,80
"죄송해요, 그 부분은 잘 모르겠어요 (06)",32,0.002891479172314087,인식/이해 실패,81
"죄송해요, 그 부분은 잘 모르겠어요 (94)",32,0.002891479172314087,인식/이해 실패,82
"죄송해요, 그 부분은 잘 모르겠어요 (30)",32,0.002891479172314087,인식/이해 실패,83
"죄송해요, 그 부분은 잘 모르겠어요 (36)",32,0.002891479172314087,인식/이해 실패,84
"죄송해요, 그 부분은 잘 모르겠어요 (62)",32,0.002891479172314087,인식/이해 실패,85
"죄송해요, 그 부분은 잘 모르겠어요 (73)",32,0.002891479172314087,인식/이해 실패,86
"죄송해요, 그 부분은 잘 모르겠어요 (42)",32,0.002891479172314087,인식/이해 실패,87
"죄송해요, 그 부분은 잘 모르겠어요 (70)",31,0.0028011204481792717,인식/이해 실패,88
"죄송해요, 그 부분은 잘 모르겠어요 (81)",31,0.0028011204481792717,인식/이해 실패,89
"죄송해요, 그 부분은 잘 모르겠어요 (00)",31,0.0028011204481792717,인식/이해 실패,90
"죄송해요, 그 부분은 잘 모르겠어요 (95)",31,0.0028011204481792717,인식/이해 실패,91
"죄송해요, 그 부분은 잘 모르겠어요 (10)",31,0.0028011204481792717,인식/이해 실패,92
"죄송해요, 그 부분은 잘 모르겠어요 (27)",31,0.0028011204481792717,인식/이해 실패,93
"죄송해요, 그 부분은 잘 모르겠어요 (44)",31,0.0028011204481792717,인식/이해 실패,94
"죄송해요, 그 부분은 잘 모르겠어요 (75)",30,0.0027107617240444567,인식/이해 실패,95
"죄송해요, 그 부분은 잘 모르겠어요 (29)",30,0.0027107617240444567,인식/이해 실패,96
"죄송해요, 그 부분은 잘 모르겠어요 (31)",30,0.0027107617240444567,인식/이해 실패,97
"죄송해요, 그 부분은 잘 모르겠어요 (51)",29,0.002620402999909641,인식/이해 실패,98
"죄송해요, 그 부분은 잘 모르겠어요 (16)",29,0.002620402999909641,인식/이해 실패,99
"죄송해요, 그 부분은 잘 모르겠어요 (86)",29,0.002620402999909641,인식/이해 실패,100
"죄송해요, 그 부분은 잘 모르겠어요 (35)",29,0.002620402999909641,인식/이해 실패,101
"죄송해요, 그 부분은 잘 모르겠어요 (53)",29,0.002620402999909641,인식/이해 실패,102
"죄송해요, 그 부분은 잘 모르겠어요 (19)",28,0.002530044275774826,인식/이해 실패,103
"죄송해요, 그 부분은 잘 모르겠어요 (54)",28,0.002530044275774826,인식/이해 실패,104
"죄송해요, 그 부분은 잘 모르겠어요 (90)",28,0.002530044275774826,인식/이해 실패,105
"죄송해요, 그 부분은 잘 모르겠어요 (03)",28,0.002530044275774826,인식/이해 실패,106
"죄송해요, 그 부분은 잘 모르겠어요 (82)",28,0.002530044275774826,인식/이해 실패,107
"죄송해요, 그 부분은 잘 모르겠어요 (37)",27,0.002439685551640011,인식/이해 실패,108
"죄송해요, 그 부분은 잘 모르겠어요 (58)",27,0.002439685551640011,인식/이해 실패,109
"죄송해요, 그 부분은 잘 모르겠어요 (93)",27,0.002439685551640011,인식/이해 실패,110
"죄송해요, 그 부분은 잘 모르겠어요 (89)",26,0.0023493268275051955,인식/이해 실패,111
"죄송해요, 그 부분은 잘 모르겠어요 (96)",26,0.0023493268275051955,인식/이해 실패,112
"죄송해요, 그 부분은 잘 모르겠어요 (65)",26,0.0023493268275051955,인식/이해 실패,113
"죄송해요, 그 부분은 잘 모르겠어요 (64)",25,0.0022589681033703805,인식/이해 실패,114
주변 소음 때문에 알아듣기 어려워요.,25,0.0022589681033703805,소음 판정,115
"죄송해요, 그 부분은 잘 모르겠어요 (91)",23,0.00207825065510075,인식/이해 실패,116
주변이 시끄러워서 잘 못 들었어요.,18,0.001626457034426674,소음 판정,117
소리가 섞여서 잘 안 들렸어요.,17,0.0015360983102918587,소음 판정,118
저를 부르신 게 아닌 것 같아요.,15,0.0013553808620222283,오호출 판정,119
혹시 저를 부르셨나요?,3,0.0002710761724044456,오호출 판정,120
